stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
NY,Lewis County,36049,11325.0,20505.0,New York,55.23043160204828,9180.0,-0.2695683979517227
NY,Livingston County,36051,30031.0,51695.0,New York,58.092658864493664,21664.0,2.5926588644936643
NY,Madison County,36053,30064.0,56735.0,New York,52.990217678681596,26671.0,-2.5097823213184043
NY,Monroe County,36055,347790.0,563895.0,New York,61.67637592104913,216105.0,6.176375921049129
NY,Montgomery County,36057,19054.0,37765.0,New York,50.454124189063954,18711.0,-5.045875810936046
NY,Nassau County,36059,636967.0,952270.0,New York,66.88932760666617,315303.0,11.389327606666171
NY,New York County,36061,668939.0,1165065.0,New York,57.41645315926579,496126.0,1.9164531592657923
NY,Niagara County,36063,92402.0,166670.0,New York,55.440091198176034,74268.0,-0.05990880182396552
NY,Oneida County,36065,91009.0,176295.0,New York,51.623131682690946,85286.0,-3.8768683173090537
NY,Onondaga County,36067,208440.0,350870.0,New York,59.40661783566563,142430.0,3.906617835665628
NY,Ontario County,36069,52258.0,84865.0,New York,61.57780003535026,32607.0,6.077800035350258
NY,Orange County,36071,152021.0,262350.0,New York,57.94587383266629,110329.0,2.4458738326662868
NY,Orleans County,36073,16380.0,32630.0,New York,50.199203187250994,16250.0,-5.300796812749006
NY,Oswego County,36075,48180.0,93420.0,New York,51.57353885677585,45240.0,-3.9264611432241523
NY,Otsego County,36077,25668.0,49960.0,New York,51.377101681345074,24292.0,-4.122898318654926
NY,Putnam County,36079,48563.0,73605.0,New York,65.97785476530127,25042.0,10.477854765301274
NY,Queens County,36081,686393.0,1383305.0,New York,49.61978739323577,696912.0,-5.880212606764232
NY,Rensselaer County,36083,71562.0,124290.0,New York,57.576635288438325,52728.0,2.0766352884383252
NY,Richmond County,36085,180960.0,334695.0,New York,54.06713575045937,153735.0,-1.4328642495406285
NY,Rockland County,36087,135087.0,205960.0,New York,65.58894931054574,70873.0,10.088949310545743
NY,St. Lawrence County,36089,39158.0,86265.0,New York,45.392685330087524,47107.0,-10.107314669912476
NY,Saratoga County,36091,114094.0,172340.0,New York,66.20285482186375,58246.0,10.702854821863752
NY,Schenectady County,36093,67280.0,115875.0,New York,58.062567421790725,48595.0,2.5625674217907246
NY,Schoharie County,36095,14050.0,25425.0,New York,55.26057030481809,11375.0,-0.23942969518191148
NY,Schuyler County,36097,8772.0,14530.0,New York,60.37164487267722,5758.0,4.871644872677223
NY,Seneca County,36099,13980.0,27670.0,New York,50.52403324900614,13690.0,-4.975966750993862
NY,Steuben County,36101,42002.0,75210.0,New York,55.84629703496875,33208.0,0.34629703496874953
NY,Suffolk County,36103,681254.0,1058860.0,New York,64.33843945375214,377606.0,8.838439453752144
NY,Sullivan County,36105,29955.0,56215.0,New York,53.28648937116428,26260.0,-2.2135106288357207
NY,Tioga County,36107,22299.0,38525.0,New York,57.8818948734588,16226.0,2.3818948734587977
NY,Tompkins County,36109,42678.0,79910.0,New York,53.4075835314729,37232.0,-2.092416468527098
NY,Ulster County,36111,81355.0,141090.0,New York,57.66177617123822,59735.0,2.1617761712382233
NY,Warren County,36113,31408.0,51680.0,New York,60.77399380804953,20272.0,5.273993808049532
NY,Washington County,36115,24528.0,49640.0,New York,49.411764705882355,25112.0,-6.088235294117645
NY,Wayne County,36117,39687.0,70855.0,New York,56.01157293063298,31168.0,0.5115729306329797
NY,Westchester County,36119,420655.0,634370.0,New York,66.31067042892948,213715.0,10.810670428929484
NY,Wyoming County,36121,17298.0,32645.0,New York,52.98820646347067,15347.0,-2.511793536529332
